,from_data,to_data,y_true,y_pred
16,"tensor([600., 714., 194.])","tensor([332., 714., 400.])","tensor([202., 714., 553.])","tensor([ 0.0134, -0.1367, -1.0863,  ...,  0.3395, -0.1480, -0.3447],
       grad_fn=<AddBackward0>)"
17,"tensor([479., 839., 194.])","tensor([ 93., 839., 511.])","tensor([416., 839., 163.])","tensor([-1.5440, -0.3134, -0.3457,  ..., -0.0518, -0.4539, -0.5037],
       grad_fn=<AddBackward0>)"
18,"tensor([202., 632., 394.])","tensor([271., 632., 484.])","tensor([468., 632., 421.])","tensor([-0.4433, -0.2648, -0.6918,  ..., -1.3535, -0.6466, -0.5237],
       grad_fn=<AddBackward0>)"
19,"tensor([ 19., 255., 416.])","tensor([157., 255., 312.])","tensor([332., 255.,  26.])","tensor([ 0.1935, -1.1881, -0.5137,  ..., -1.0645, -1.1348, -0.8625],
       grad_fn=<AddBackward0>)"
20,"tensor([238., 492., 416.])","tensor([ 96., 492., 439.])","tensor([366., 492., 577.])","tensor([-0.3016, -0.5656, -1.2989,  ..., -1.2923, -0.4389,  0.2831],
       grad_fn=<AddBackward0>)"
21,"tensor([301., 402., 314.])","tensor([398., 402., 623.])","tensor([359., 402., 505.])","tensor([-1.5328,  0.3402, -1.6291,  ..., -2.8908, -1.7179, -0.6645],
       grad_fn=<AddBackward0>)"
22,"tensor([186., 454., 124.])","tensor([217., 454., 518.])","tensor([112., 454., 357.])","tensor([-0.1125,  1.6262, -1.0424,  ..., -0.7319, -0.5066,  0.2717],
       grad_fn=<AddBackward0>)"
23,"tensor([478., 136., 484.])","tensor([510., 136., 246.])","tensor([366., 136., 381.])","tensor([-1.1889, -0.1461, -1.1684,  ..., -1.3312, -0.2283, -0.7932],
       grad_fn=<AddBackward0>)"
24,"tensor([256., 670., 277.])","tensor([ 82., 670., 589.])","tensor([218., 670., 221.])","tensor([-0.1616, -0.9770, -0.9926,  ..., -1.2535, -0.7293, -0.5456],
       grad_fn=<AddBackward0>)"
25,"tensor([298., 562., 285.])","tensor([370., 562., 395.])","tensor([398., 562., 586.])","tensor([ 0.0540,  0.2956, -1.5087,  ..., -1.4954, -0.2061, -0.2432],
       grad_fn=<AddBackward0>)"
26,"tensor([592., 828., 528.])","tensor([ 48., 828., 220.])","tensor([553., 828., 123.])","tensor([-0.8576, -1.5199, -0.2135,  ..., -1.3094, -0.6904, -1.0209],
       grad_fn=<AddBackward0>)"
27,"tensor([163., 304., 343.])","tensor([482., 304., 230.])","tensor([537., 304., 505.])","tensor([-2.1399, -1.1642, -0.7406,  ..., -0.3290, -0.1561, -2.1253],
       grad_fn=<AddBackward0>)"
28,"tensor([384.,  90., 255.])","tensor([127.,  90., 616.])","tensor([196.,  90., 328.])","tensor([ 0.4849, -1.5477, -1.1059,  ...,  0.0076, -0.5981,  2.3023],
       grad_fn=<AddBackward0>)"
29,"tensor([403., 912., 625.])","tensor([369., 912., 266.])","tensor([487., 912., 199.])","tensor([ 2.7757, -1.4492,  0.1258,  ..., -0.7561, -0.6587, -1.6754],
       grad_fn=<AddBackward0>)"
30,"tensor([536., 899., 159.])","tensor([321., 899.,  82.])","tensor([208., 899., 428.])","tensor([-0.7673, -0.4647,  0.5462,  ...,  0.1077,  0.0313, -0.9133],
       grad_fn=<AddBackward0>)"
31,"tensor([614., 652., 622.])","tensor([467., 652., 212.])","tensor([559., 652., 212.])","tensor([-0.4238,  0.0913, -0.5281,  ...,  0.2552,  1.7724, -0.4637],
       grad_fn=<AddBackward0>)"
32,"tensor([400., 275., 574.])","tensor([398., 275., 462.])","tensor([468., 275.,  14.])","tensor([ 0.0590,  0.4723, -0.1306,  ..., -1.0327, -0.6474, -0.5687],
       grad_fn=<AddBackward0>)"
33,"tensor([373.,  60.,   6.])","tensor([  1.,  60., 100.])","tensor([315.,  60., 144.])","tensor([ 0.3010, -0.3541, -0.8412,  ..., -2.3932, -2.2929, -1.4195],
       grad_fn=<AddBackward0>)"
34,"tensor([  7., 538., 548.])","tensor([ 82., 538., 505.])","tensor([202., 538., 518.])","tensor([ 2.9962, -2.1446,  0.1450,  ...,  0.5279, -1.6952, -0.4877],
       grad_fn=<AddBackward0>)"
35,"tensor([ 29., 125., 245.])","tensor([558., 125., 621.])","tensor([ 42., 125., 163.])","tensor([-0.4294, -0.6219,  0.8764,  ..., -3.5125,  0.7190, -1.8978],
       grad_fn=<AddBackward0>)"
36,"tensor([622., 510., 484.])","tensor([238., 510., 291.])","tensor([461., 510., 451.])","tensor([ 0.9310,  0.0398,  0.3471,  ..., -0.9336,  0.0333, -0.6320],
       grad_fn=<AddBackward0>)"
37,"tensor([319., 734., 358.])","tensor([242., 734., 225.])","tensor([614., 734., 201.])","tensor([-0.1366, -0.8054, -0.2303,  ..., -0.0964, -2.1366,  0.9782],
       grad_fn=<AddBackward0>)"
38,"tensor([624., 316.,  24.])","tensor([350., 316., 221.])","tensor([441., 316., 299.])","tensor([-0.2051,  0.0788,  0.8163,  ..., -0.6015, -0.8498, -0.2955],
       grad_fn=<AddBackward0>)"
39,"tensor([321., 473., 601.])","tensor([606., 473., 421.])","tensor([592., 473., 227.])","tensor([ 0.0756,  0.8350, -0.3744,  ..., -0.3327, -0.7091, -0.0141],
       grad_fn=<AddBackward0>)"
40,"tensor([466., 863., 505.])","tensor([ 32., 863., 467.])","tensor([523., 863., 606.])","tensor([-0.2135, -0.3924,  0.1841,  ..., -0.4461,  0.2326, -1.5747],
       grad_fn=<AddBackward0>)"
41,"tensor([522., 565., 529.])","tensor([593., 565., 567.])","tensor([124., 565., 405.])","tensor([ 0.0556, -0.1243, -0.7714,  ..., -0.0449, -0.3562, -0.5937],
       grad_fn=<AddBackward0>)"
42,"tensor([467., 755., 204.])","tensor([622., 755., 204.])","tensor([512., 755., 259.])","tensor([ 0.5085, -0.1803, -0.7193,  ..., -0.3381, -0.0857, -0.2727],
       grad_fn=<AddBackward0>)"
43,"tensor([ 83., 959., 393.])","tensor([482., 959.,  98.])","tensor([383., 959., 266.])","tensor([-0.3311, -1.4400, -0.8068,  ...,  0.1311, -1.7099, -0.7907],
       grad_fn=<AddBackward0>)"
44,"tensor([400., 352., 628.])","tensor([375., 352., 304.])","tensor([526., 352.,  89.])","tensor([-0.6143, -1.0657, -0.2691,  ..., -0.3435, -1.4507, -0.0531],
       grad_fn=<AddBackward0>)"
45,"tensor([352., 809., 105.])","tensor([512., 809., 221.])","tensor([409., 809., 400.])","tensor([-4.1295, -0.5985,  0.9450,  ..., -2.2841,  2.3683,  0.3797],
       grad_fn=<AddBackward0>)"
46,"tensor([527., 903., 585.])","tensor([296., 903., 614.])","tensor([432., 903., 155.])","tensor([ 1.8130,  1.3446,  1.3035,  ..., -0.0042, -0.1258, -0.7571],
       grad_fn=<AddBackward0>)"
47,"tensor([171., 240., 428.])","tensor([ 48., 240., 115.])","tensor([511., 240., 515.])","tensor([-0.4325, -0.5301, -1.0107,  ..., -0.7531,  0.4650, -0.3537],
       grad_fn=<AddBackward0>)"
48,"tensor([128.,  56., 169.])","tensor([ 82.,  56., 348.])","tensor([517.,  56.,  14.])","tensor([ 0.2068, -0.6583, -0.0307,  ..., -0.3424, -1.1872, -0.2349],
       grad_fn=<AddBackward0>)"
49,"tensor([242., 222., 601.])","tensor([301., 222., 374.])","tensor([231., 222., 299.])","tensor([-1.2463, -0.5565, -1.2689,  ..., -0.6795, -1.1089, -0.2016],
       grad_fn=<AddBackward0>)"
50,"tensor([299., 329., 572.])","tensor([411., 329., 266.])","tensor([539., 329., 240.])","tensor([ 0.1616,  0.2436, -0.2118,  ..., -2.3280, -2.0642, -0.2238],
       grad_fn=<AddBackward0>)"
51,"tensor([231., 813., 325.])","tensor([271., 813., 259.])","tensor([534., 813., 332.])","tensor([-0.0143, -0.9592, -2.7022,  ..., -0.2702, -0.2087, -0.3001],
       grad_fn=<AddBackward0>)"
52,"tensor([251., 945., 337.])","tensor([617., 945., 142.])","tensor([ 19., 945., 476.])","tensor([-0.1614,  0.1593, -1.3617,  ..., -1.0101,  0.2325,  1.3845],
       grad_fn=<AddBackward0>)"
53,"tensor([478., 227., 467.])","tensor([597., 227., 577.])","tensor([517., 227., 106.])","tensor([-0.0601, -0.4550, -0.9352,  ..., -0.9537, -0.0141,  0.1326],
       grad_fn=<AddBackward0>)"
54,"tensor([217.,  91., 495.])","tensor([ 73.,  91., 201.])","tensor([403.,  91.,  32.])","tensor([-0.6280,  0.6886, -0.5521,  ...,  0.1298,  1.8072,  0.2084],
       grad_fn=<AddBackward0>)"
55,"tensor([315., 526., 207.])","tensor([ 54., 526., 386.])","tensor([202., 526.,  35.])","tensor([-0.8003, -0.1159, -0.6743,  ...,  0.9643, -1.7819, -0.6116],
       grad_fn=<AddBackward0>)"
56,"tensor([512., 356., 341.])","tensor([208., 356., 297.])","tensor([113., 356., 608.])","tensor([-0.3743,  1.6614, -0.6850,  ..., -1.0854, -1.1510, -0.0650],
       grad_fn=<AddBackward0>)"
57,"tensor([296., 608.,  82.])","tensor([ 96., 608., 144.])","tensor([599., 608.,  93.])","tensor([-0.6950, -0.3087, -1.2728,  ..., -0.5822, -0.6722, -0.8838],
       grad_fn=<AddBackward0>)"
58,"tensor([350., 277.,  24.])","tensor([ 74., 277., 157.])","tensor([301., 277., 396.])","tensor([-0.1535, -0.5635, -0.4425,  ...,  0.5195,  1.4602,  0.2974],
       grad_fn=<AddBackward0>)"
59,"tensor([398., 216., 555.])","tensor([202., 216.,  35.])","tensor([570., 216., 386.])","tensor([ 1.1223, -0.3666,  0.0527,  ..., -0.0078, -0.6853, -0.1946],
       grad_fn=<AddBackward0>)"
60,"tensor([ 59., 197., 183.])","tensor([223., 197.,  44.])","tensor([467., 197., 139.])","tensor([-0.2664, -1.0720, -0.2017,  ..., -1.0665, -0.9879,  0.0610],
       grad_fn=<AddBackward0>)"
61,"tensor([183., 700., 397.])","tensor([466., 700., 551.])","tensor([595., 700., 500.])","tensor([-0.3386, -0.8333, -1.7772,  ..., -0.2459, -0.2607, -0.0555],
       grad_fn=<AddBackward0>)"
62,"tensor([403., 659.,   2.])","tensor([630., 659., 169.])","tensor([263., 659., 276.])","tensor([-0.3926, -1.2315,  1.2069,  ..., -1.5696, -0.7569, -0.8498],
       grad_fn=<AddBackward0>)"
63,"tensor([ 88., 535., 373.])","tensor([417., 535., 382.])","tensor([218., 535.,  82.])","tensor([-0.5610, -0.2579, -0.9592,  ..., -0.6646, -2.7604, -2.1045],
       grad_fn=<AddBackward0>)"
64,"tensor([ 86., 826., 381.])","tensor([398., 826., 147.])","tensor([176., 826., 390.])","tensor([-0.7654, -0.6188, -1.3846,  ...,  0.2042,  0.2762, -0.2649],
       grad_fn=<AddBackward0>)"
65,"tensor([163., 718.,  48.])","tensor([ 17., 718.,  97.])","tensor([ 19., 718.,  83.])","tensor([-0.7839, -0.5615, -0.4997,  ..., -0.6662, -0.2706, -2.1142],
       grad_fn=<AddBackward0>)"
66,"tensor([398., 583., 613.])","tensor([ 19., 583., 381.])","tensor([251., 583., 242.])","tensor([ 0.1641, -0.7689, -0.0190,  ..., -0.1478, -1.5493,  0.1630],
       grad_fn=<AddBackward0>)"
67,"tensor([ 74., 897., 515.])","tensor([439., 897., 574.])","tensor([ 19., 897., 394.])","tensor([-1.1507, -0.4705, -0.7487,  ..., -0.4553,  0.2789, -0.1491],
       grad_fn=<AddBackward0>)"
68,"tensor([138., 123., 285.])","tensor([546., 123., 176.])","tensor([506., 123., 253.])","tensor([-0.0694, -1.0799, -0.3328,  ..., -0.4013, -0.4420, -0.6764],
       grad_fn=<AddBackward0>)"
69,"tensor([606.,  14.,  29.])","tensor([196.,  14., 277.])","tensor([452.,  14.,  15.])","tensor([-0.6133, -1.6549, -2.1461,  ..., -0.9255,  0.0671, -1.0933],
       grad_fn=<AddBackward0>)"
70,"tensor([358., 463.,  44.])","tensor([466., 463., 482.])","tensor([597., 463., 559.])","tensor([-4.7861e-01, -8.1426e-01, -2.5067e-01,  ...,  6.7401e-04,
        -6.8718e-01, -8.5250e-01], grad_fn=<AddBackward0>)"
71,"tensor([ 69., 307., 124.])","tensor([157., 307., 551.])","tensor([321., 307., 407.])","tensor([-0.0332, -0.7129, -0.9185,  ...,  0.0487,  0.7318,  0.9020],
       grad_fn=<AddBackward0>)"
72,"tensor([240., 198., 155.])","tensor([621., 198.,  17.])","tensor([585., 198., 620.])","tensor([ 0.3364,  1.8037, -0.5028,  ..., -0.3010,  0.4048, -0.2525],
       grad_fn=<AddBackward0>)"
73,"tensor([ 32., 392., 315.])","tensor([614., 392., 341.])","tensor([224., 392., 140.])","tensor([-0.5851, -0.6607, -1.1760,  ...,  2.4105,  0.8473, -2.7929],
       grad_fn=<AddBackward0>)"
